PROP_TYPE|LIST_NO|LIST_AGENT|LIST_OFFICE|STATUS|LIST_PRICE|STREET_NO|STREET_NAME|UNIT_NO|TOWN_NUM|AREA|ZIP_CODE|LENDER_OWNED|PHOTO_COUNT|PHOTO_DATE|PHOTO_MASK|LD_TYPE|LOT_SIZE|ACRE
LD|70812192|BB922701|BB6030|ACT|310000|Lot7A|Vine Street||574||01253|U|6|3/1/2012 9:04:00 AM|63|A|1765486|40.53
LD|70812826|K0003035|K95257|ACT|450000|Lot 1|Turner Road||430||01507|U|9|8/7/2009 6:21:00 PM|511|A|1953343|44.84
LD|70813339|BB910912|BB5618|ACT|499900|0|North Vine St.||441||01757|N|3|6/24/2010 11:31:00 AM|7|A|62000|1.42
LD|70813340|BB910912|BB5618|ACT|169900|0|North Vine St. - Lot 4A||441||01757|N|1|6/24/2010 11:25:00 AM|1|A|15014|0.34
LD|70814180|M0000292|M95215|ACT|79500|5|Trout Lily||860||01033|U|2|9/2/2008 5:35:00 PM|3|A|78300|1.79
LD|70814188|M0000292|M95215|ACT|89500|4|Trout Lily||860||01033|U|2|9/2/2008 5:21:00 PM|3|A|47916|1.1
LD|70814196|M0000292|M95215|ACT|89500|1|Trout Lily||860||01033|U|1|9/2/2008 5:49:00 PM|1|A|51400|1.17
LD|70814199|M0000292|M95215|ACT|88500|2|Trout Lily||860||01033|U|2|9/2/2008 5:24:00 PM|3|A|40713|0.93
LD|70815098|BB300722|BB3473|ACT|898000|lot 2-3|Oakmount||63||02420|N|4|9/9/2008 2:08:00 PM|15|A|18596|0.42
LD|70816748|B8001252|AC1590|ACT|900000|41|Newbury St.||315||01960|U|1|9/6/2008 11:56:00 AM|1|C|47916|1.1
LD|70816916|BB923717|BB9039|ACT|199000|0|Stump Rd||575||01255|U|14|10/18/2008 3:41:00 PM|16383|A|77754|1.78
LD|70822056|E00000DM|E36401|ACT|74900|Lot 2|State Road||525||01093|U|1|4/14/2011 2:08:00 PM|1|A|157687|3.62
LD|70824880|M0001497|M95337|ACT|125000|Parcel C/D|Washington Road||855||01095|U|3|10/1/2008 12:46:00 PM|7|A|87120|2
LD|70837408|BB903063|NB4646|ACT|37500|190|Pond Street||45||01721|U|1|10/21/2008 4:03:00 PM|1|C|20038|0.46
LD|70838217|A9501720|A95621|ACT|213900|63|Thacher Shore Road||119|YPT|02675|U|4|10/23/2008 11:00:00 AM|15|A|81021|1.85
LD|70838487|BB300621|BB9342|ACT|585000|39|Alder Street||35||02053|U|1|10/23/2011 7:25:00 AM|1|C|335412|7.7
LD|70841443|BB902687|NB1251|ACT|275000|0|Richardson Ave||67||02703|U|1|10/31/2008 12:07:00 PM|1|A|2395800|55
LD|70841768|BB802540|BB4519|ACT|249900|1-2|Martha's Way||38||02093|U|2|10/31/2008 9:20:00 PM|3|A|1270000|29.15
LD|70842308|NB112114|NB2863|ACT|165000|Lot 18|Smith Cove Road||5100||04657|U|5|11/3/2008 11:53:00 AM|31|A|89885|2.06
LD|70843559|K0001591|K01272|ACT|69900|Lots 1 & 2|Blood Rd.||430||01507|U|0|11/6/2008 8:30:00 AM|0|A|281111|6.45
LD|70843839|A0002272|A12401|ACT|1779900|Lot 3|Whites Hill Estates||194||02184|U|3|12/11/2008 10:31:00 AM|7|A|657990|15.1
LD|70844777|H1303251|H31800|ACT|55000|LOT A|OTTER RIVER ROAD||466||01475|U|1|11/9/2008 12:34:00 PM|1|A|88303|2.02
LD|70844778|H1303251|H31800|ACT|55000|LOT B|OTTER RIVER ROAD||466||01475|U|1|11/9/2008 12:35:00 PM|1|A|88502|2.03
LD|70844875|BB302018|BB4624|ACT|174900|14|Donna Rd||117||02576|N|2|11/9/2008 9:57:00 PM|3|A|81893|1.88
LD|70844876|BB302018|BB4624|ACT|124900|7|Donna Rd||117||02576|N|2|11/9/2008 9:58:00 PM|3|A|42337|0.97
