PROP_TYPE|LIST_NO|LIST_AGENT|LIST_OFFICE|STATUS|LIST_PRICE|STREET_NO|STREET_NAME|UNIT_NO|TOWN_NUM|AREA|ZIP_CODE|LENDER_OWNED|PHOTO_COUNT|PHOTO_DATE|PHOTO_MASK|RN_TYPE|NO_ROOMS|NO_BEDROOMS|NO_FULL_BATHS|NO_HALF_BATHS|MASTER_BATH|PARKING_SPACES|LOT_SIZE|SQUARE_FEET
RN|71326554|K8000143|K95310|ACT|775|108|School St|2|435||01534||1|1/12/2012 10:34:00 AM|1|D|4|2|1|0||1|0|0
RN|71326555|BB902208|BB0960|ACT|3000|157|Beale Street|6|195||02170||18|3/5/2012 10:03:00 AM|262143|D|5|3|2|1|Y|0|2468|2468
RN|71326593|NB112084|NB2812|ACT|750|39|Liberty Sq.|B|60||01719||1|1/12/2012 11:25:00 AM|1|C|3|1|1|0|N|2|0|550
RN|71326654|BB802878|BB9633|ACT|1400|113|Beacon Street|1R|22||02150||8|1/12/2012 12:46:00 PM|255|D|4|1|1|0||0|99999|950
RN|71326679|A0000449|A01801|ACT|1675|62|NICKS ROCK RD|0|213||02360||6|1/12/2012 1:40:00 PM|63|A|5|3|1|0|N|6|0.42|1260
RN|71326686|BB800541|BB5596|BOM|1400|118|Highland St|2|185||02301||1|2/11/2012 4:06:00 PM|1|D|6|4|1|0||1|14810|1500
RN|71326710|A0000342|A00450|ACT|4500|81|Atlantic Avenue|1|201||02025||24|1/12/2012 2:23:00 PM|16777215|A|10|4|4|1|Y|3|91040|5494
RN|71326742|A9500513|A95379|ACT|800|110|Thibeault|1|2002||02878||5|1/12/2012 3:07:00 PM|31|A|4|1|1|0|N|2|0|720
RN|71326852|M9502333|AC0396|ACT|3400|6|Grove Street|1|1|102|02114||5|3/27/2012 9:34:00 AM|31|C|6|2|2|0||1|1087|1087
RN|71326864|A0001116|A05307|ACT|1150|1|Peck|2|210||02364||9|1/12/2012 6:19:00 PM|511|D|4|2|1|0|N|2|5100|900
RN|71326922|B0326606|B95050|ACT|3200|127|Harrison Ave|SF|301||01801||8|2/18/2012 11:54:00 AM|255|A|8|5|2|1|N|4|12000|2318
RN|71327033|A9500275|A14004|ACT|6000|73|Arrowwood Drive|0|202||02066||1|1/13/2012 12:02:00 PM|1|A|10|4|4|3|Y|6|285000|4500
RN|71327041|CT003304|FR0235|ACT|650|162|Haffards|10|161||02723||6|1/13/2012 12:16:00 PM|63|D|3|1|1|0|N|1|6640|650
